legacy_id,language,trid,source_language
70655,en,153726,
70667,en,153729,
70669,en,153731,
70672,de,153731,en
70674,de,153726,en
70677,en,153736,
70581,en,153719,
70788,en,153744,
70792,en,153747,
70829,en,153752,
70841,de,153752,en
70844,de,153747,en
70845,en,153757,
70864,de,153719,en
70871,en,153760,
70883,de,153760,en
70894,en,153763,
70929,en,153769,
70941,en,153772,
70978,en,153777,
71014,de,153777,en
71018,en,153783,
71024,de,153772,en
71026,de,153769,en
71034,en,153786,
71051,en,153789,
71076,de,153792,
71086,en,153794,
71089,en,153799,
71119,en,153803,
71139,de,153805,
71159,en,153808,
71162,en,153811,
71175,en,153814,
71194,en,153816,
71231,de,153816,en
71244,en,153824,
71267,en,153829,
71291,en,153833,
71303,en,153836,
71315,en,153840,
71337,de,153833,en
71356,de,153840,en
71344,en,153843,
71359,de,153836,en
71360,de,153843,en
71363,en,153845,
71366,en,153847,
71373,de,153847,en
71400,en,153851,
71417,de,153854,
71436,en,153856,
71439,en,153859,
71451,en,153862,
71463,en,153865,
71478,en,153868,
71490,en,153871,
71519,en,153874,
71522,en,153876,
71525,en,153879,
71552,de,153879,en
