person_key,canonical_name,honorific,affiliation,country,person_type,aliases,source_refs,occurrences,needs_review,notes,final_action,reviewer
king-became,Dr. King became,,,,speaker,"Dr. King became, in the last year of his life, and in the face of clear personal risk, an uncompromising opponent, not o",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
king-s-formulation,Dr. King's formulation,,,,speaker,"Dr. King's formulation, that ""the choice is no longer between violence and non-violence; the choice is now between non-v",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
kirk-wiebe,Kirk Wiebe (U.S.),,,,speaker,"Kirk Wiebe (U.S.), Senior Analyst (Ret.), U.S. National Security Agency (NSA), member, Veteran Intelligence Professional",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
kwame-cole,Kwame Cole,,,,speaker,"Kwame Cole, viola",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
kynan-thistlethwaite,Kynan Thistlethwaite (U.S.),,,,speaker,Kynan Thistlethwaite (U.S.),yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
l-beethoven,L. Beethoven: Sonata for Cello and Piano No. 4 in C Major,,,,speaker,"L. Beethoven: Sonata for Cello and Piano No. 4 in C Major, Op. 102, No. 1",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
larouche-collected-works,LaRouche Collected Works,,,,speaker,"LaRouche Collected Works, Volume I—Two for $75 https://bit.ly/llf-special",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
larry-wilkerson,Col. (ret.) Larry Wilkerson,,,,speaker,"Col. (ret.) Larry Wilkerson, (U.S.) former chief of staff to the US Secretary of State",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
leevke-hinrichs,Leevke Hinrichs,,,,speaker,"Leevke Hinrichs, flute",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
liliana-gorini,Liliana Gorini (Italy),,,,speaker,"Liliana Gorini (Italy), Chairwoman of Movisol, and Sebastiano Brusco (Italy), Pianist",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
linda-childs,Linda Childs,,,,speaker,"Linda Childs, Alto",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
lisa-bryce,Lisa Bryce,,,,speaker,"Lisa Bryce, Soprano; Dura Jun, piano",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
lissie-brobjerg,Lissie Brobjerg,,,,speaker,"Lissie Brobjerg, Schiller Institute, United States: ""Are You a Large-Scale Geological Force?""",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
liu-haifang,Prof. Liu Haifang (China),,,,speaker,"Prof. Liu Haifang (China), Beijing University: ""EU-China-Africa Relations and the New Architecture""",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
liu-qiang,Dr. Liu Qiang,,,,speaker,"Dr. Liu Qiang, Director of Energy Economics Division, Inst. of Quantitative & Technical Economics at Chinese Academy of ",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
ludwig-van-beethoven,"Ludwig van Beethoven: ""An die ferne Geliebte",,,,speaker,"Ludwig van Beethoven: ""An die ferne Geliebte,"" Op. 98 Poem by Ludwig Rellstab (1799–1860)",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
ludwig-van-beethoven-choral-fantasia,Ludwig van Beethoven: Choral Fantasia,,,,speaker,"Ludwig van Beethoven: Choral Fantasia, Op. 80",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
madison-tang,Madison Tang (U.S.),,,,speaker,"Madison Tang (U.S.), CODEPINK,",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
major-florian-d-pfaff,Major Florian D. Pfaff,,,,speaker,Major Florian D. Pfaff,yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
major-general-peter-clegg,Major General (ret.) Peter Clegg,,,,speaker,Major General (ret.) Peter Clegg,yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
manuel-hassassian,H.E. Prof. Dr. Manuel Hassassian (Palestine),,,,speaker,"H.E. Prof. Dr. Manuel Hassassian (Palestine), Palestinian Ambassador to Denmark",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
marcelo-munoz,Marcelo Muñoz (Spain),,,,speaker,"Marcelo Muñoz (Spain), Founder and President Emeritus of Cátedra China think tank, ""If Europe Decouples from China, It W",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
mariana-tian,Prof. Mariana TIAN,,,,speaker,Prof. Mariana TIAN,yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
mass-in-c-major,Mass in C Major,,,,speaker,"Mass in C Major, Op. 86, Schiller Institute NYC Chorus and Orchestra, John Sigerson, conductor",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
megan-beets-and-jason-ross,Megan Beets and Jason Ross,,,,speaker,"Megan Beets and Jason Ross, the ""Basement Team"" of Lyndon LaRouche",yt-segmentation,1,1,added by reconcile from video-segmentation,drop,mk
megan-dobrodt,Megan Dobrodt (U.S.),,,,speaker,"Megan Dobrodt (U.S.), President, Schiller Institute",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
meifang-zhang,Ms. Meifang Zhang,,,,speaker,"Ms. Meifang Zhang, Deputy Consul General, the Consulate General of the People's Republic of China in New York, address t",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
michael-grundler,Michael Gründler,,,,speaker,"Michael Gründler, piano",yt-segmentation,1,1,added by reconcile from video-segmentation,,mk
